City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Cape Town,ZA,2022-07-12 01:42:50,-33.9258,18.4232,54.12,92,75,9.22
59,Anadyr,RU,2022-07-12 01:42:50,64.75,177.4833,59.5,67,40,6.71
60,Zhezkazgan,KZ,2022-07-12 01:42:51,47.8043,67.7144,67.98,68,0,13.42
61,Cherskiy,RU,2022-07-12 01:42:51,68.75,161.3,80.08,34,83,12.8
62,Shangqiu,CN,2022-07-12 01:42:51,34.45,115.65,88.84,73,100,8.86
63,Manyana,BW,2022-07-12 01:42:52,-23.4,21.7167,50.34,41,0,6.6
64,Vagay,RU,2022-07-12 01:42:52,57.9375,69.0217,66.11,62,9,9.01
65,Iskateley,RU,2022-07-12 01:42:53,67.6803,53.1512,66.9,81,100,7.85
66,Albany,US,2022-07-12 01:42:53,42.6001,-73.9662,77.23,61,1,6.31
67,Laguna,US,2022-07-12 01:42:53,38.421,-121.4238,102.94,29,0,13.8
68,Tuktoyaktuk,CA,2022-07-12 01:42:54,69.4541,-133.0374,48.2,100,100,9.22
69,Barsovo,RU,2022-07-12 01:42:54,61.1667,73.1667,62.02,57,79,10.29
70,College,US,2022-07-12 01:42:55,64.8569,-147.8028,76.95,68,100,10.36
71,Hilo,US,2022-07-12 01:42:55,19.7297,-155.09,85.28,70,40,12.66
72,Souillac,MU,2022-07-12 01:42:56,-20.5167,57.5167,70.18,73,40,12.66
73,Sheridan,US,2022-07-12 01:42:56,44.8333,-106.9173,82.78,28,0,3.44
74,Luganville,VU,2022-07-12 01:42:56,-15.5333,167.1667,82.78,64,0,7.34
75,Mecca,SA,2022-07-12 01:42:57,21.4267,39.8261,85.68,30,88,4.97
76,Carnarvon,AU,2022-07-12 01:42:57,-24.8667,113.6333,67.24,51,0,7.9
77,Gat,IL,2022-07-12 01:42:58,31.61,34.7642,74.08,83,0,0.47
78,Gimli,CA,2022-07-12 01:39:03,50.6336,-96.9907,73.42,60,0,3.44
79,Mar Del Plata,AR,2022-07-12 01:39:00,-38.0023,-57.5575,46.09,71,75,18.01
80,Sorland,NO,2022-07-12 01:42:58,67.667,12.6934,53.46,91,100,21.21
81,Bambous Virieux,MU,2022-07-12 01:42:59,-20.3428,57.7575,71.22,73,40,12.66
82,Christchurch,NZ,2022-07-12 01:42:59,-43.5333,172.6333,49.91,90,100,18.41
83,Baykit,RU,2022-07-12 01:43:00,61.67,96.37,61.05,47,99,3.06
84,Douentza,ML,2022-07-12 01:43:00,14.9951,-2.9517,89.65,41,9,8.05
85,Chiredzi,ZW,2022-07-12 01:43:01,-21.05,31.6667,60.06,56,3,2.73
86,Bumba,CD,2022-07-12 01:43:01,2.1833,22.4667,71.15,94,85,2.57
87,Palu,ID,2022-07-12 01:43:01,-0.8917,119.8707,86.16,69,73,1.48
88,Perpignan,FR,2022-07-12 01:38:37,42.75,2.75,72.82,88,0,3.44
89,Castro,BR,2022-07-12 01:43:02,-24.7911,-50.0119,66.51,52,100,13.87
90,George,ZA,2022-07-12 01:43:02,-33.963,22.4617,47.75,76,1,3.44
91,Chuy,UY,2022-07-12 01:44:03,-33.6971,-53.4616,49.66,92,100,16.64
92,Victoria,HK,2022-07-12 01:40:00,22.2855,114.1577,90.97,78,12,5.99
93,Neiafu,TO,2022-07-12 01:44:03,-18.65,-173.9833,83.08,74,40,16.11
94,Kahului,US,2022-07-12 01:44:04,20.8947,-156.47,87.82,45,40,25.32
95,Tasiilaq,GL,2022-07-12 01:44:04,65.6145,-37.6368,46.56,74,100,2.95
96,Marrakesh,MA,2022-07-12 01:44:04,31.6315,-8.0083,78.87,53,40,6.91
97,Guarapari,BR,2022-07-12 01:44:05,-20.6667,-40.4975,69.89,85,90,12.24
98,Saryozek,KZ,2022-07-12 01:44:05,44.3583,77.9753,72.46,38,8,2.46
99,Nanortalik,GL,2022-07-12 01:44:06,60.1432,-45.2371,40.95,90,99,9.46
100,Perevolotskiy,RU,2022-07-12 01:44:06,51.8763,54.1938,68.99,71,2,6.06
101,Nelson Bay,AU,2022-07-12 01:44:06,-32.7167,152.15,60.01,88,100,5.99
102,Waipawa,NZ,2022-07-12 01:44:07,-41.4122,175.5153,54.97,95,100,23.6
103,Kapaa,US,2022-07-12 01:44:07,22.0752,-159.319,85.98,68,40,12.66
104,Georgetown,MY,2022-07-12 01:39:15,5.4112,100.3354,78.73,94,40,3.44
105,Mount Isa,AU,2022-07-12 01:44:08,-20.7333,139.5,58.77,29,25,18.41
106,Ponta Do Sol,PT,2022-07-12 01:44:08,32.6667,-17.1,69.71,70,17,5.32
107,Tiksi,RU,2022-07-12 01:44:09,71.6872,128.8694,35.64,98,100,17.56
108,Meulaboh,ID,2022-07-12 01:44:09,4.1363,96.1285,75.88,86,100,5.95
109,Leningradskiy,RU,2022-07-12 01:44:09,69.3833,178.4167,50.65,57,8,14.25
110,Pokosnoye,RU,2022-07-12 01:44:10,55.5258,101.0536,63.37,80,100,9.24
111,Freeport,US,2022-07-12 01:44:10,40.6576,-73.5832,75.47,65,0,24.16
112,Arraial Do Cabo,BR,2022-07-12 01:44:11,-22.9661,-42.0278,70.43,93,19,24.85
113,Tayoltita,MX,2022-07-12 01:44:11,24.0833,-105.9333,72.46,93,76,2.19
114,Luderitz,NA,2022-07-12 01:44:12,-26.6481,15.1594,54.59,69,0,14.83
115,Geraldton,AU,2022-07-12 01:44:12,-28.7667,114.6,50.41,76,0,10.36
116,Liberal,US,2022-07-12 01:44:12,37.0431,-100.921,89.74,40,0,26.46
117,Guerrero Negro,MX,2022-07-12 01:44:13,27.9769,-114.0611,68.13,80,58,19.08
118,Lorengau,PG,2022-07-12 01:44:13,-2.0226,147.2712,82.58,79,58,10.78
119,Tuatapere,NZ,2022-07-12 01:44:14,-46.1333,167.6833,46.49,78,100,11.3
120,Partizanskoye,RU,2022-07-12 01:44:14,55.5006,94.39,58.1,74,92,7.34
121,Severo-Kurilsk,RU,2022-07-12 01:44:15,50.6789,156.125,60.13,84,22,7.67
122,Qaqortoq,GL,2022-07-12 01:44:15,60.7167,-46.0333,40.86,91,65,5.19
123,Jimo,CN,2022-07-12 01:44:15,36.3897,120.4622,78.58,100,100,8.95
124,Puerto Gaitan,CO,2022-07-12 01:40:15,4.3133,-72.0816,71.15,95,95,6.13
125,Baruun-Urt,MN,2022-07-12 01:44:16,46.6806,113.2792,66.79,69,100,3.44
126,San Patricio,US,2022-07-12 01:44:17,28.017,-97.5169,90.18,62,11,13.78
127,Valreas,FR,2022-07-12 01:44:17,44.3837,4.9908,67.62,67,0,4.52
128,Kalmunai,LK,2022-07-12 01:44:17,7.4167,81.8167,81.77,60,100,5.06
129,Saint-Philippe,RE,2022-07-12 01:44:18,-21.3585,55.7679,65.79,72,49,15.14
130,Svetlaya,RU,2022-07-12 01:44:18,46.5389,138.3297,62.69,99,100,5.82
131,Sorong,ID,2022-07-12 01:44:19,-0.8833,131.25,78.62,89,99,8.41
132,Yinchuan,CN,2022-07-12 01:44:19,38.4681,106.2731,81.14,46,100,0.51
133,Nikolskoye,RU,2022-07-12 01:44:20,59.7035,30.7861,64.29,99,91,6.35
134,Ahipara,NZ,2022-07-12 01:44:20,-35.1667,173.1667,59.63,84,7,18.68
135,Scalea,IT,2022-07-12 01:45:21,39.813,15.7956,74.39,57,0,3.94
136,Provideniya,RU,2022-07-12 01:45:21,64.3833,-173.3,51.91,82,100,11.18
137,Bombay,IN,2022-07-12 01:42:13,19.0144,72.8479,80.58,94,100,8.05
138,Pachmarhi,IN,2022-07-12 01:45:22,22.4667,78.4333,68.68,96,100,4.97
139,New Glasgow,CA,2022-07-12 01:44:36,45.5834,-62.6486,64.18,67,100,9.82
140,Sola,VU,2022-07-12 01:45:22,-13.8833,167.55,80.06,78,16,15.57
141,East London,ZA,2022-07-12 01:42:46,-33.0153,27.9116,57.99,69,0,6.26
142,Qaanaaq,GL,2022-07-12 01:45:23,77.484,-69.3632,42.24,82,93,5.06
143,Warrnambool,AU,2022-07-12 01:44:23,-38.3833,142.4833,52.81,67,100,5.1
144,San Esteban,HN,2022-07-12 01:45:23,15.2,-85.75,71.87,95,100,2.28
145,Port Macquarie,AU,2022-07-12 01:45:24,-31.4333,152.9167,58.01,66,100,3.04
146,Haines Junction,CA,2022-07-12 01:45:24,60.7522,-137.5108,58.95,47,100,10.36
147,Gallatin,US,2022-07-12 01:45:24,45.6666,-111.2008,79.66,26,0,4.0
148,Bara,NG,2022-07-12 01:45:25,10.3744,10.7288,74.95,81,37,10.13
149,Talnakh,RU,2022-07-12 01:45:25,69.4865,88.3972,49.21,53,63,20.27
150,Bilibino,RU,2022-07-12 01:45:26,68.0546,166.4372,73.42,39,100,4.23
151,Esperance,AU,2022-07-12 01:45:26,-33.8667,121.9,57.65,61,0,17.94
152,Hithadhoo,MV,2022-07-12 01:45:26,-0.6,73.0833,82.31,74,55,8.48
153,La Ronge,CA,2022-07-12 01:45:27,55.1001,-105.2842,66.42,72,75,1.14
154,Sabha,LY,2022-07-12 01:45:27,27.0377,14.4283,81.91,27,0,14.83
155,Arlit,NE,2022-07-12 01:45:28,18.7369,7.3853,90.75,28,53,8.7
156,Tahlequah,US,2022-07-12 01:40:54,35.9154,-94.97,92.48,50,0,2.93
157,Steamboat Springs,US,2022-07-12 01:44:24,40.485,-106.8317,83.79,21,0,3.44
158,Maues,BR,2022-07-12 01:45:29,-3.3836,-57.7186,77.27,79,37,1.81
159,Cabo San Lucas,MX,2022-07-12 01:44:05,22.8909,-109.9124,87.62,65,42,12.26
160,Clarence Town,AU,2022-07-12 01:45:29,-32.5833,151.7833,60.15,70,100,3.13
161,Bell Ville,AR,2022-07-12 01:45:30,-32.6259,-62.6887,43.43,58,39,7.96
162,Bangassou,CF,2022-07-12 01:45:30,4.7413,22.8184,67.46,98,98,1.79
163,Sandnessjoen,NO,2022-07-12 01:45:30,66.0217,12.6316,53.65,89,99,5.01
164,Havelock,US,2022-07-12 01:45:31,34.8791,-76.9013,78.8,91,100,4.61
165,Maputo,MZ,2022-07-12 01:45:31,-25.9653,32.5892,66.22,83,40,9.22
166,Isangel,VU,2022-07-12 01:45:31,-19.55,169.2667,79.16,77,58,4.68
167,Nome,US,2022-07-12 01:45:32,64.5011,-165.4064,63.16,77,100,8.05
168,Pozo Colorado,PY,2022-07-12 01:45:32,-23.4923,-58.7972,56.84,83,100,14.5
169,Rakhiv,UA,2022-07-12 01:45:33,48.0526,24.2009,46.49,97,53,1.07
170,Haverfordwest,GB,2022-07-12 01:45:33,51.8017,-4.9691,65.79,88,100,11.23
171,Te Anau,NZ,2022-07-12 01:45:34,-45.4167,167.7167,41.05,75,100,3.22
172,Dwarka,IN,2022-07-12 01:45:34,22.2394,68.9678,82.06,83,99,23.67
173,Verkhoyansk,RU,2022-07-12 01:45:34,67.5447,133.385,62.94,79,100,7.2
174,Nizhniy Kuranakh,RU,2022-07-12 01:45:35,58.8353,125.4869,70.63,66,88,1.28
175,Derzhavinsk,KZ,2022-07-12 01:45:35,51.1,66.3167,72.95,69,49,12.66
176,Kollegal,IN,2022-07-12 01:45:36,12.15,77.1167,71.15,84,100,12.35
