City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Snellville,US,77.72,clear sky,33.8573,-84.0199,La Quinta Inn & Suites by Wyndham Snellville-Stone Mountain
621,Ambajogai,IN,75.74,overcast clouds,18.7333,76.3833,Hotel Krushnai
622,Mahibadhoo,MV,82.72,overcast clouds,3.7833,72.9667,Omadhoo Inn
624,Pedernales,DO,80.78,overcast clouds,18.0384,-71.744,Hotel Costa Marina
626,Lamar,US,84.63,clear sky,33.6668,-95.5836,Kings Inn Paris TX
629,Alappuzha,IN,79.83,overcast clouds,9.49,76.3264,Panoramic Sea Resort
631,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
636,Santa Marta,CO,80.65,few clouds,11.2408,-74.199,Hotel La Ballena Azul
644,Kutum,SD,78.91,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
645,Key Largo,US,83.98,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
646,South Venice,US,77.99,few clouds,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
648,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
651,Liku,ID,84.51,broken clouds,-0.7275,119.8922,Kost annisa
652,Woodward,US,88.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
660,Dumas,US,82.54,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
671,Dong Hoi,VN,88.99,clear sky,17.4833,106.6,Nam Long Hotel
672,Cabra,ES,77.67,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
673,Miandrivazo,MG,75.51,few clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
680,Misratah,LY,82.58,clear sky,32.3754,15.0925,Almasa Hotel
681,Guane,CU,77.77,overcast clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
